There	EX
is	VBZ
a	DT
secret	NN
down	RB
here	RB
,	,
in	IN
this	DT
nightmare	NN
fog	NN
,	,
that	WDT
has	VBZ
lain	VBN
dumb	JJ
for	IN
centuries	NNS
:	:
I	PRP
want	VBP
to	TO
make	VB
it	PRP
a	DT
real	JJ
thing	NN
to	TO
you	PRP
.	.

You	PRP
,	,
Egoist	NNP
,	,
or	CC
Pantheist	NN
,	,
or	CC
Arminian	NNP
,	,
busy	JJ
in	IN
making	VBG
straight	JJ
paths	NNS
for	IN
your	PRP$
feet	NNS
on	IN
the	DT
hills	NNS
,	,
do	VBP
not	RB
see	VB
it	PRP
clearly	RB
,	,
--	:
this	DT
terrible	JJ
question	NN
which	WDT
men	NNS
here	RB
have	VBP
gone	VBN
mad	JJ
and	CC
died	VBD
trying	VBG
to	TO
answer	VB
.	.

I	PRP
dare	VBP
not	RB
put	VB
this	DT
secret	NN
into	IN
words	NNS
.	.

I	PRP
told	VBD
you	PRP
it	PRP
was	VBD
dumb	JJ
.	.

These	DT
men	NNS
,	,
going	VBG
by	IN
with	IN
drunken	JJ
faces	NNS
and	CC
brains	NNS
full	JJ
of	IN
unawakened	JJ
power	NN
,	,
do	VBP
not	RB
ask	VB
it	PRP
of	IN
Society	NNP
or	CC
of	IN
God	NNP
.	.

Their	PRP$
lives	NNS
ask	VB
it	PRP
;	:
their	PRP$
deaths	NNS
ask	VB
it	PRP
.	.

There	EX
is	VBZ
no	DT
reply	NN
.	.

I	PRP
will	MD
tell	VB
you	PRP
plainly	RB
that	IN
I	PRP
have	VBP
a	DT
great	JJ
hope	NN
;	:
and	CC
I	PRP
bring	VBP
it	PRP
to	TO
you	PRP
to	TO
be	VB
tested	VBN
.	.

It	PRP
is	VBZ
this	DT
:	:
that	IN
this	DT
terrible	JJ
dumb	JJ
question	NN
is	VBZ
its	PRP$
own	JJ
reply	NN
;	:
that	IN
it	PRP
is	VBZ
not	RB
the	DT
sentence	NN
of	IN
death	NN
we	PRP
think	VBP
it	PRP
,	,
but	CC
,	,
from	IN
the	DT
very	RB
extremity	NN
of	IN
its	PRP$
darkness	NN
,	,
the	DT
most	RBS
solemn	JJ
prophecy	NN
which	WDT
the	DT
world	NN
has	VBZ
known	VBN
of	IN
the	DT
Hope	NNP
to	TO
come	VB
.	.

I	PRP
dare	VBP
make	VB
my	PRP$
meaning	NN
no	DT
clearer	JJR
,	,
but	CC
will	MD
only	RB
tell	VB
my	PRP$
story	NN
.	.

It	PRP
will	MD
,	,
perhaps	RB
,	,
seem	VBP
to	TO
you	PRP
as	IN
foul	JJ
and	CC
dark	JJ
as	IN
this	DT
thick	JJ
vapor	NN
about	IN
us	PRP
,	,
and	CC
as	IN
pregnant	JJ
with	IN
death	NN
;	:
but	CC
if	IN
your	PRP$
eyes	NNS
are	VBP
free	JJ
as	IN
mine	NN
are	VBP
to	TO
look	VB
deeper	JJR
,	,
no	DT
perfume-tinted	JJ
dawn	NN
will	MD
be	VB
so	RB
fair	JJ
with	IN
promise	NN
of	IN
the	DT
day	NN
that	IN
shall	MD
surely	RB
come	VB
.	.

My	PRP$
story	NN
is	VBZ
very	RB
simple	JJ
,	,
--	:
Only	RB
what	WP
I	PRP
remember	VBP
of	IN
the	DT
life	NN
of	IN
one	CD
of	IN
these	DT
men	NNS
,	,
--	:
a	DT
furnace-tender	JJ
in	IN
one	CD
of	IN
Kirby	NNP
&	CC
John	NNP
's	POS
rolling-mills	NNS
,	,
--	:
Hugh	NNP
Wolfe	NNP
.	.

You	PRP
know	VBP
the	DT
mills	NNS
?	.

They	PRP
took	VBD
the	DT
great	JJ
order	NN
for	IN
the	DT
lower	JJR
Virginia	NNP
railroads	NNS
there	RB
last	JJ
winter	NN
;	:
run	VB
usually	RB
with	IN
about	IN
a	DT
thousand	CD
men	NNS
.	.

I	PRP
can	MD
not	RB
tell	VB
why	WRB
I	PRP
choose	VBP
the	DT
half-forgotten	JJ
story	NN
of	IN
this	DT
Wolfe	NNP
more	JJR
than	IN
that	DT
of	IN
myriads	NNS
of	IN
these	DT
furnace-hands	NNS
.	.

Perhaps	RB
because	IN
there	EX
is	VBZ
a	DT
secret	NN
,	,
underlying	VBG
sympathy	NN
between	IN
that	DT
story	NN
and	CC
this	DT
day	NN
with	IN
its	PRP$
impure	JJ
fog	NN
and	CC
thwarted	VBD
sunshine	NN
,	,
--	:
or	CC
perhaps	RB
simply	RB
for	IN
the	DT
reason	NN
that	IN
this	DT
house	NN
is	VBZ
the	DT
one	CD
where	WRB
the	DT
Wolfes	NNPS
lived	VBD
.	.

There	EX
were	VBD
the	DT
father	NN
and	CC
son	NN
,	,
--	:
both	DT
hands	NNS
,	,
as	IN
I	PRP
said	VBD
,	,
in	IN
one	CD
of	IN
Kirby	NNP
&	CC
John	NNP
's	POS
mills	NNS
for	IN
making	VBG
railroad-iron	NN
,	,
--	:
and	CC
Deborah	NNP
,	,
their	PRP$
cousin	NN
,	,
a	DT
picker	NN
in	IN
some	DT
of	IN
the	DT
cotton-mills	NNS
.	.

The	DT
house	NN
was	VBD
rented	VBN
then	RB
to	TO
half	PDT
a	DT
dozen	NN
families	NNS
.	.

The	DT
Wolfes	NNP
had	VBD
two	CD
of	IN
the	DT
cellar-rooms	NNS
.	.

The	DT
old	JJ
man	NN
,	,
like	IN
many	JJ
of	IN
the	DT
puddlers	NNS
and	CC
feeders	NNS
of	IN
the	DT
mills	NNS
,	,
was	VBD
Welsh	NNP
,	,
--	:
had	VBD
spent	VBN
half	NN
of	IN
his	PRP$
life	NN
in	IN
the	DT
Cornish	NNP
tin-mines	NNS
.	.

You	PRP
may	MD
pick	VB
the	DT
Welsh	NNP
emigrants	NNS
,	,
Cornish	NNP
miners	NNS
,	,
out	IN
of	IN
the	DT
throng	NN
passing	VBG
the	DT
windows	NNS
,	,
any	DT
day	NN
.	.

They	PRP
are	VBP
a	DT
trifle	RB
more	RBR
filthy	JJ
;	:
their	PRP$
muscles	NNS
are	VBP
not	RB
so	RB
brawny	JJ
;	:
they	PRP
stoop	VBP
more	RBR
.	.

When	WRB
they	PRP
are	VBP
drunk	JJ
,	,
they	PRP
neither	DT
yell	VBP
,	,
nor	CC
shout	NN
,	,
nor	CC
stagger	NN
,	,
but	CC
skulk	NNP
along	IN
like	IN
beaten	JJ
hounds	NNS
.	.

A	DT
pure	JJ
,	,
unmixed	JJ
blood	NN
,	,
I	PRP
fancy	NN
:	:
shows	NNS
itself	PRP
in	IN
the	DT
slight	JJ
angular	JJ
bodies	NNS
and	CC
sharply-cut	JJ
facial	JJ
lines	NNS
.	.

It	PRP
is	VBZ
nearly	RB
thirty	CD
years	NNS
since	IN
the	DT
Wolfes	NNP
lived	VBD
here	RB
.	.

Their	PRP$
lives	NNS
were	VBD
like	IN
those	DT
of	IN
their	PRP$
class	NN
:	:
incessant	JJ
labor	NN
,	,
sleeping	VBG
in	IN
kennel-like	JJ
rooms	NNS
,	,
eating	VBG
rank	NN
pork	NN
and	CC
molasses	NNS
,	,
drinking	NN
--	:
God	NNP
and	CC
the	DT
distillers	NNS
only	RB
know	VBP
what	WP
;	:
with	IN
an	DT
occasional	JJ
night	NN
in	IN
jail	NN
,	,
to	TO
atone	VB
for	IN
some	DT
drunken	JJ
excess	NN
.	.

Is	VBZ
that	IN
all	DT
of	IN
their	PRP$
lives	NNS
?	.

--	:
of	IN
the	DT
portion	NN
given	VBN
to	TO
them	PRP
and	CC
these	DT
their	PRP$
duplicates	NNS
swarming	VBG
the	DT
streets	NNS
to-day	NN
?	.

--	:
nothing	NN
beneath	IN
?	.

--	:
all	DT
?	.

So	RB
many	JJ
a	DT
political	JJ
reformer	NN
will	MD
tell	VB
you	PRP
,	,
--	:
and	CC
many	JJ
a	DT
private	JJ
reformer	NN
,	,
too	RB
,	,
who	WP
has	VBZ
gone	VBN
among	IN
them	PRP
with	IN
a	DT
heart	NN
tender	NN
with	IN
Christ	NNP
's	POS
charity	NN
,	,
and	CC
come	VB
out	RP
outraged	JJ
,	,
hardened	VBN
.	.

One	CD
rainy	JJ
night	NN
,	,
about	IN
eleven	NNS
o'clock	RB
,	,
a	DT
crowd	NN
of	IN
half-clothed	JJ
women	NNS
stopped	VBD
outside	NN
of	IN
the	DT
cellar-door	NN
.	.

They	PRP
were	VBD
going	VBG
home	NN
from	IN
the	DT
cotton-mill	NN
.	.

``	``
Good-night	NN
,	,
Deb	NNP
,	,
''	''
said	VBD
one	CD
,	,
a	DT
mulatto	JJ
,	,
steadying	JJ
herself	PRP
against	IN
the	DT
gas-post	NN
.	.

She	PRP
needed	VBD
the	DT
post	NN
to	TO
steady	JJ
her	PRP
.	.

So	RB
did	VBD
more	JJR
than	IN
one	CD
of	IN
them	PRP
.	.

``	``
Dah	NNP
's	POS
a	DT
ball	NN
to	TO
Miss	NNP
Potts	NNP
'	POS
to-night	NN
.	.

Ye	PRP
'd	MD
best	RB
come	VB
.	.
''	''

``	``
Inteet	NNP
,	,
Deb	NNP
,	,
if	IN
hur	NN
'll	MD
come	VB
,	,
hur	VB
'll	MD
hef	VB
fun	NN
,	,
''	''
said	VBD
a	DT
shrill	JJ
Welsh	JJ
voice	NN
in	IN
the	DT
crowd	NN
.	.

Two	CD
or	CC
three	CD
dirty	JJ
hands	NNS
were	VBD
thrust	VBN
out	IN
to	TO
catch	VB
the	DT
gown	NN
of	IN
the	DT
woman	NN
,	,
who	WP
was	VBD
groping	VBG
for	IN
the	DT
latch	VB
of	IN
the	DT
door	NN
.	.

``	``
No	DT
.	.
''	''

``	``
No	DT
?	.

Where	WRB
's	POS
Kit	NN
Small	JJ
,	,
then	RB
?	.
''	''

``	``
Begorra	NNP
!	.

on	IN
the	DT
spools	NNS
.	.

Alleys	NNS
behint	NN
,	,
though	IN
we	PRP
helped	VBD
her	PRP
,	,
we	PRP
dud	VBP
.	.

An	DT
wid	NN
ye	PRP
!	.

Let	VB
Deb	NNP
alone	RB
!	.

It	PRP
's	VBZ
ondacent	JJ
frettin	NN
'	''
a	DT
quite	RB
body	NN
.	.

Be	VB
the	DT
powers	NNS
,	,
an	DT
we	PRP
'll	MD
have	VB
a	DT
night	NN
of	IN
it	PRP
!	.

there	RB
'll	MD
be	VB
lashin	NN
's	POS
o	NN
'	''
drink	NN
,	,
--	:
the	DT
Vargent	NNP
be	VB
blessed	VBN
and	CC
praised	VBN
for	IN
`	``
t	NN
!	.
''	''

They	PRP
went	VBD
on	IN
,	,
the	DT
mulatto	JJ
inclining	VBG
for	IN
a	DT
moment	NN
to	TO
show	VB
fight	NN
,	,
and	CC
drag	VB
the	DT
woman	NN
Wolfe	NNP
off	RP
with	IN
them	PRP
;	:
but	CC
,	,
being	VBG
pacified	VBN
,	,
she	PRP
staggered	VBD
away	RB
.	.

Deborah	NNP
groped	VBD
her	PRP$
way	NN
into	IN
the	DT
cellar	NN
,	,
and	CC
,	,
after	IN
considerable	JJ
stumbling	JJ
,	,
kindled	VBD
a	DT
match	NN
,	,
and	CC
lighted	VBD
a	DT
tallow	NN
dip	NN
,	,
that	WDT
sent	VBD
a	DT
yellow	JJ
glimmer	NN
over	IN
the	DT
room	NN
.	.

It	PRP
was	VBD
low	JJ
,	,
damp	JJ
,	,
--	:
the	DT
earthen	JJ
floor	NN
covered	VBN
with	IN
a	DT
green	JJ
,	,
slimy	JJ
moss	NN
,	,
--	:
a	DT
fetid	JJ
air	NN
smothering	VBG
the	DT
breath	NN
.	.

Old	NNP
Wolfe	NNP
lay	VBD
asleep	RB
on	IN
a	DT
heap	NN
of	IN
straw	NN
,	,
wrapped	VBN
in	IN
a	DT
torn	VBN
horse-blanket	NN
.	.

He	PRP
was	VBD
a	DT
pale	JJ
,	,
meek	JJ
little	JJ
man	NN
,	,
with	IN
a	DT
white	JJ
face	NN
and	CC
red	JJ
rabbit-eyes	NNS
.	.

The	DT
woman	NN
Deborah	NNP
was	VBD
like	IN
him	PRP
;	:
only	RB
her	PRP$
face	NN
was	VBD
even	RB
more	RBR
ghastly	JJ
,	,
her	PRP$
lips	NNS
bluer	JJR
,	,
her	PRP$
eyes	NNS
more	RBR
watery	JJ
.	.

She	PRP
wore	VBD
a	DT
faded	VBN
cotton	NN
gown	NN
and	CC
a	DT
slouching	JJ
bonnet	NN
.	.

When	WRB
she	PRP
walked	VBD
,	,
one	CD
could	MD
see	VB
that	IN
she	PRP
was	VBD
deformed	VBN
,	,
almost	RB
a	DT
hunchback	NN
.	.

She	PRP
trod	VBD
softly	RB
,	,
so	RB
as	IN
not	RB
to	TO
waken	VB
him	PRP
,	,
and	CC
went	VBD
through	IN
into	IN
the	DT
room	NN
beyond	IN
.	.

There	EX
she	PRP
found	VBD
by	IN
the	DT
half-extinguished	JJ
fire	NN
an	DT
iron	NN
saucepan	NN
filled	VBN
with	IN
cold	JJ
boiled	VBN
potatoes	NNS
,	,
which	WDT
she	PRP
put	VBD
upon	IN
a	DT
broken	JJ
chair	NN
with	IN
a	DT
pint-cup	NN
of	IN
ale	NN
.	.

Placing	VBG
the	DT
old	JJ
candlestick	NN
beside	IN
this	DT
dainty	JJ
repast	NN
,	,
she	PRP
untied	VBD
her	PRP$
bonnet	NN
,	,
which	WDT
hung	VBD
limp	JJ
and	CC
wet	JJ
over	IN
her	PRP$
face	NN
,	,
and	CC
prepared	VBN
to	TO
eat	VB
her	PRP$
supper	NN
.	.

It	PRP
was	VBD
the	DT
first	JJ
food	NN
that	WDT
had	VBD
touched	VBN
her	PRP$
lips	NNS
since	IN
morning	NN
.	.

There	EX
was	VBD
enough	RB
of	IN
it	PRP
,	,
however	RB
:	:
there	EX
is	VBZ
not	RB
always	RB
.	.

She	PRP
was	VBD
hungry	JJ
,	,
--	:
one	CD
could	MD
see	VB
that	IN
easily	RB
enough	RB
,	,
--	:
and	CC
not	RB
drunk	JJ
,	,
as	IN
most	JJS
of	IN
her	PRP$
companions	NNS
would	MD
have	VB
been	VBN
found	VBN
at	IN
this	DT
hour	NN
.	.

She	PRP
did	VBD
not	RB
drink	VB
,	,
this	DT
woman	NN
,	,
--	:
her	PRP$
face	NN
told	VBD
that	IN
,	,
too	RB
,	,
--	:
nothing	NN
stronger	JJR
than	IN
ale	NN
.	.

Perhaps	RB
the	DT
weak	JJ
,	,
flaccid	JJ
wretch	NN
had	VBD
some	DT
stimulant	NN
in	IN
her	PRP$
pale	JJ
life	NN
to	TO
keep	VB
her	PRP$
up	RP
,	,
--	:
some	DT
love	NN
or	CC
hope	NN
,	,
it	PRP
might	MD
be	VB
,	,
or	CC
urgent	JJ
need	NN
.	.

When	WRB
that	DT
stimulant	NN
was	VBD
gone	VBN
,	,
she	PRP
would	MD
take	VB
to	TO
whiskey	NN
.	.

Man	NN
can	MD
not	RB
live	VB
by	IN
work	NN
alone	RB
.	.

While	IN
she	PRP
was	VBD
skinning	VBG
the	DT
potatoes	NNS
,	,
and	CC
munching	VBG
them	PRP
,	,
a	DT
noise	NN
behind	IN
her	PRP$
made	VBN
her	PRP$
stop	NN
.	.

``	``
Janey	NN
!	.
''	''

she	PRP
called	VBD
,	,
lifting	VBG
the	DT
candle	NN
and	CC
peering	VBG
into	IN
the	DT
darkness	NN
.	.

``	``
Janey	NNP
,	,
are	VBP
you	PRP
there	EX
?	.
''	''

A	DT
heap	NN
of	IN
ragged	JJ
coats	NNS
was	VBD
heaved	VBN
up	RP
,	,
and	CC
the	DT
face	NN
of	IN
a	DT
young	JJ
girl	NN
emerged	VBD
,	,
staring	VBG
sleepily	RB
at	IN
the	DT
woman	NN
.	.

``	``
Deborah	NNP
,	,
''	''
she	PRP
said	VBD
,	,
at	IN
last	JJ
,	,
``	``
I	PRP
'm	VBP
here	RB
the	DT
night	NN
.	.
''	''

``	``
Yes	UH
,	,
child	NN
.	.

Hur	NNP
's	POS
welcome	JJ
,	,
''	''
she	PRP
said	VBD
,	,
quietly	RB
eating	VBG
on	IN
.	.

The	DT
girl	NN
's	POS
face	NN
was	VBD
haggard	NN
and	CC
sickly	JJ
;	:
her	PRP$
eyes	NNS
were	VBD
heavy	JJ
with	IN
sleep	NN
and	CC
hunger	NN
:	:
real	JJ
Milesian	JJ
eyes	NNS
they	PRP
were	VBD
,	,
dark	JJ
,	,
delicate	JJ
blue	NN
,	,
glooming	VBG
out	RP
from	IN
black	JJ
shadows	NNS
with	IN
a	DT
pitiful	JJ
fright	NN
.	.

``	``
I	PRP
was	VBD
alone	RB
,	,
''	''
she	PRP
said	VBD
,	,
timidly	RB
.	.

``	``
Where	WRB
's	VBZ
the	DT
father	NN
?	.
''	''

asked	VBD
Deborah	NNP
,	,
holding	VBG
out	RP
a	DT
potato	NN
,	,
which	WDT
the	DT
girl	NN
greedily	RB
seized	VBD
.	.

``	``
He	PRP
's	VBZ
beyant	JJ
,	,
--	:
wid	NN
Haley	NNP
,	,
--	:
in	IN
the	DT
stone	NN
house	NN
.	.
''	''

-LRB-	-LRB-
Did	VBD
you	PRP
ever	RB
hear	VBP
the	DT
word	NN
tail	NN
from	IN
an	DT
Irish	JJ
mouth	NN
?	.
-RRB-	-RRB-

``	``
I	PRP
came	VBD
here	RB
.	.

Hugh	NNP
told	VBD
me	PRP
never	RB
to	TO
stay	VB
me-lone	JJ
.	.
''	''

``	``
Hugh	NNP
?	.
''	''

``	``
Yes	UH
.	.
''	''

A	DT
vexed	VBN
frown	NN
