placeid,admin_1,admin_2,colloquial_area,continent,country,formatted_address,lat,locality,location_type,lon,natural_feature,partial,point_of_interest
ChIJt2BwZIrfekgRAW4XP28E3EI,England,Merseyside,,,United Kingdom,"Liverpool, UK",53.4083714,Liverpool,locality,-2.9915726,,False,
ChIJt4P01q4DyIkRWOcjQqiWSAQ,Maryland,,,,United States,"Baltimore, MD, USA",39.2903848,Baltimore,locality,-76.6121893,,False,
ChIJt7EfXUsbdkgRX-QGt3UxedE,England,Greater London,,,United Kingdom,"Chancery Ln, London WC2A, UK",51.5163069,London,route,-0.1121548,,False,
ChIJtTRdNRw0CZQRK-PGyc8M1Gk,,,,South America,,South America,-8.783195,,continent,-55.491477,,False,
ChIJu-SH28MJxkcRnwq9_851obM,,,,,Netherlands,Netherlands,52.132633,,country,5.291265999999999,,False,
ChIJu46S-ZZhLxMROG5lkwZ3D7k,Lazio,Metropolitan City of Rome,,,Italy,"Rome, Italy",41.9027835,Rome,locality,12.4963655,,False,
ChIJuxo3InRWN20RCsg3_E3rW1k,Canterbury,,,,New Zealand,"W End, Kaikoura 7300, New Zealand",-42.4007659,Kaikoura,route,173.6813563,,False,
ChIJv-VNj0VoEkYRK9BkuJ07sKE,,,,,Norway,Norway,60.47202399999999,,country,8.468945999999999,,False,
ChIJvypWkWV2wYgR0E7HW9MTLvc,Florida,,,,United States,"Florida, USA",27.6648274,,administrative_area_level_1,-81.5157535,,False,
ChIJw34Q38OAhYARULF5jDe-8cE,California,San Francisco County,,,United States,"Jackson St, San Francisco, CA, USA",37.7933175,San Francisco,route,-122.4280068,,False,
ChIJwTXDVNUadkgRGnzGNLlkIdo,England,Greater London,,,United Kingdom,"Oxford St, London, UK",51.51535759999999,London,route,-0.1412661,,False,
ChIJwULG5WSOUDERbzafNHyqHZU,,,,,China,China,35.86166,,country,104.195397,,False,
ChIJwY5NtXrpNogRFtmfnDlkzeU,Ohio,,,,United States,"Ohio, USA",40.4172871,,administrative_area_level_1,-82.90712300000001,,False,
ChIJy3TpSfyxOG0RcLQTomPvAAo,Wellington,Wellington City,,,New Zealand,"Wellington, New Zealand",-41.2864603,Wellington,locality,174.776236,,False,
ChIJzWRvDH6FfUgRmcRi5Pzuur8,England,Northumberland,,,United Kingdom,"Northumberland, UK",55.2082542,,administrative_area_level_2,-2.0784138,,False,
ChIJzbK8vXDWTIgRlaZGt0lBTsA,Virginia,,,,United States,"Virginia, USA",37.4315734,,administrative_area_level_1,-78.6568942,,False,
ChIJzxcfI6qAa4cR1jaKJ_j0jhE,Colorado,Denver County,,,United States,"Denver, CO, USA",39.7392358,Denver,locality,-104.990251,,False,
ChIJzyjM68dZnAARYz4p8gYVWik,,,,,Brazil,Brazil,-14.235004,,country,-51.92528,,False,
